level1_table,level2_table,level3_table,level4_table,count
Customer,Order,OrderItem,Product,450
Customer,Order,OrderItem,Inventory,420
Customer,Order,Payment,PaymentMethod,380
Customer,Order,Payment,Transaction,375
Customer,Order,Shipment,Carrier,290
Customer,Order,Shipment,TrackingEvent,285
Customer,Order,Invoice,Tax,310
Customer,Order,Invoice,Discount,180
Customer,Address,ShippingZone,Carrier,220
Customer,Address,ShippingZone,DeliveryRoute,200
Customer,Review,Product,Category,150
Customer,Review,Product,Brand,140
Customer,Cart,CartItem,Product,520
Customer,Cart,CartItem,Promotion,160
Customer,Wishlist,Product,Category,95
Supplier,Product,OrderItem,Order,310
Supplier,Product,Inventory,Warehouse,275
Supplier,Product,Category,Department,240
Supplier,PurchaseOrder,Invoice,Payment,180
Supplier,Contract,Product,Category,90
Employee,Order,Shipment,Carrier,130
Employee,Warehouse,Inventory,Product,210
Employee,SupportTicket,Customer,Order,165
Employee,SupportTicket,Customer,Review,75
Warehouse,Inventory,Product,Category,330
